958045330994, Jaisingrao, Madan, 28, male, West Bengal, Kolkata, 42, 154
53802674505, Indumati, Bakshi, 7, female, Maharashtra, Pune, 13, 67
177471333203, Neetu, Luthra, 8, female, Gujarat, Rajkot, 14, 81
57073131149, Balasubramaniam, Bahl, 23, male, Tamil Nadu, Coimbatore, 73, 156
608349384167, Yamini, Rajan, 34, male, Tamil Nadu, Coimbatore, 45, 155
143625732861, Satyana, Krishna, 14, female, Maharashtra, Nashik, 29, 122
879602253511, Prabhakar, Mangat, 12, male, Assam, Guwahati, 35, 117
213001915783, Papiya, Iyengar, 7, female, Gujarat, Surat, 9, 69
620720963958, Balakrishna, Chad, 39, male, Uttar Pradesh, Allahabad, 47, 154
65384248337, Varsha, Tella, 22, female, Uttar Pradesh, Ghaziabad, 62, 149
272542792500, Puja, Shetty, 18, female, Tamil Nadu, Coimbatore, 57, 146
345685923932, Sikkil, Mannan, 28, male, Maharashtra, Nagpur, 46, 153
947838195122, Amrita, Atwal, 17, female, Gujarat, Ahmedabad, 37, 144
524550749287, Pranati, Mangat, 38, female, Andhra Pradesh, Vijayawada, 41, 147
633396036194, Phanita, Mallick, 27, female, Uttar Pradesh, Allahabad, 48, 148
693739778405, Latika, Bhavsar, 39, female, Maharashtra, Pune, 41, 152
234048659954, Maya, Varughese, 10, female, West Bengal, Haora, 25, 100
687658007213, Kanika, Magar, 35, female, Uttar Pradesh, Varanasi, 53, 149
43349158616, Maya, Soni, 19, female, Rajasthan, Kota, 32, 148
457207307970, Mandar, Arya, 38, male, Tamil Nadu, Madurai, 51, 157
629502793683, Trilok, Amble, 31, male, Uttar Pradesh, Meerut, 30, 152
846242171779, Jayendra, Gandhi, 14, male, Punjab, Ludhiana, 24, 129
388922832092, Pratibha, Khanna, 39, male, Maharashtra, Nagpur, 51, 153
684842973977, Keki, Rau, 5, male, Gujarat, Rajkot, 9, 60
233959367791, Kirtan, Keer, 6, female, Maharashtra, Nagpur, 10, 62
734997131754, Simran, Agrawal, 11, female, Andhra Pradesh, Vijayawada, 24, 107
117161473393, Indrani, Sharaf, 9, female, Chhattisgarh, Raipur, 19, 89
898550341123, Kanchana, Kumar, 8, female, Haryana, Faridabad, 17, 79
869772016805, Yamini, Shere, 26, female, Uttar Pradesh, Agra, 65, 150
238111365298, Sambasiva, Wable, 28, male, Tamil Nadu, Chennai, 26, 155
141797366618, Pratiksha, Ramanathan, 11, female, West Bengal, Haora, 19, 109
557314143212, Arti, Lad, 12, female, Maharashtra, Nagpur, 27, 114
994853763508, Yamini, Kapur, 16, male, Jammu and Kashmir, Srinagar, 51, 144
954148320145, Tanisha, Krish, 18, female, Assam, Guwahati, 36, 151
16504145411, Vishal, Lal, 35, male, Madhya Pradesh, Jabalpur, 60, 159
940846210089, Ankita, Dube, 31, female, Uttar Pradesh, Agra, 24, 150
686347543624, Rama Devi, Mane, 15, male, Andhra Pradesh, Hyderabad, 38, 138
672295629684, Raghava, Rao, 26, male, Delhi, Delhi, 73, 159
96918500767, Sarita, Kapadia, 14, female, Maharashtra, Nagpur, 26, 125
392596236819, Meghna, Apte, 31, female, Gujarat, Rajkot, 39, 152
360245383379, Vidyasagar, Barad, 29, male, Madhya Pradesh, Gwalior, 28, 155
725022504902, Indrani, Goel, 5, female, Chhattisgarh, Raipur, 3, 50
824911576036, Varsha, Bhatnagar, 32, female, Bihar, Patna, 44, 149
606363263377, Vijayalakshmi, Tripathi, 35, female, Uttar Pradesh, Meerut, 46, 149
139802227748, Priya, Bose, 8, female, Maharashtra, Vasai Virar, 18, 84
986381919346, Vani, Walia, 18, female, Madhya Pradesh, Jabalpur, 43, 151
464277760944, Ridhima, Divan, 29, female, Uttar Pradesh, Allahabad, 48, 152
242095068814, Sikkil, Maharaj, 40, male, Uttar Pradesh, Meerut, 46, 153
124702970537, Dhanishka, Agrawal, 27, male, Uttar Pradesh, Varanasi, 36, 155
341094556236, Pranati, Mahajan, 14, female, Uttar Pradesh, Varanasi, 17, 125
360317724352, Shilpa, Manne, 39, female, Gujarat, Vadodara, 50, 148
428773017004, Puja, Sur, 19, female, Maharashtra, Mumbai, 56, 150
282360784690, Binod, Yadav, 28, male, Andhra Pradesh, Vijayawada, 68, 154
453360395890, Sukhdev, Sharaf, 36, male, Haryana, Faridabad, 46, 157
317187730828, Anamol, Sheth, 7, male, Punjab, Ludhiana, 9, 76
812104223409, Munira, Dutt, 8, female, Karnataka, Bangalore, 13, 83
306090000102, Sharmila, Chahal, 40, female, Gujarat, Vadodara, 54, 147
436746026398, Papiya, Balay, 6, female, Maharashtra, Vasai Virar, 8, 62
625863544354, Aditi, Singhal, 40, female, Gujarat, Rajkot, 63, 150
494657372200, Ratnakar, Sur, 26, male, Punjab, Amritsar, 59, 154
992609006933, Jayendra, Sarma, 8, male, Madhya Pradesh, Jabalpur, 11, 89
10439860864, Madhuri, Badal, 16, female, Andhra Pradesh, Visakhapatnam, 28, 137
630540893903, Arundhati, Sethi, 32, female, West Bengal, Haora, 35, 148
701930016535, Vamshi, Sant, 31, male, Maharashtra, Navi Mumbai, 75, 156
656805385602, Ami, Saini, 19, female, Madhya Pradesh, Indore, 47, 150
686060457993, Balasubramaniam, Sen, 8, male, Uttar Pradesh, Varanasi, 12, 89
979827586368, Hanumantha, Mall, 24, male, Maharashtra, Navi Mumbai, 52, 155
287748772887, Ghantasala, Mall, 15, male, Maharashtra, Vasai Virar, 40, 142
870168473878, Shirish, Raj, 25, male, Madhya Pradesh, Indore, 38, 155
382175525367, Aryaman, Kala, 22, male, Assam, Guwahati, 55, 155
908307717077, Rama Devi, Bhavsar, 32, male, Maharashtra, Mumbai, 73, 152
410291675488, Balakrishna, Sampath, 40, male, Andhra Pradesh, Hyderabad, 62, 155
775367476420, Bimal, Bhandari, 29, male, Rajasthan, Jodhpur, 52, 155
6577312528, Nachiketa, Suresh, 9, male, Uttar Pradesh, Varanasi, 28, 98
539906470559, Leila, Jhaveri, 36, female, Maharashtra, Navi Mumbai, 56, 150
126537041760, Bipasha, Kant, 24, female, Uttar Pradesh, Meerut, 65, 150
182884450322, Anupama, Borra, 29, female, Uttar Pradesh, Kanpur, 56, 150
311426842526, Tejaswi, Sani, 19, female, Madhya Pradesh, Bhopal, 59, 151
204825620673, Sambasiva, Garde, 6, male, Maharashtra, Nashik, 13, 71
14635772359, Shyam, Datta, 8, male, Maharashtra, Navi Mumbai, 17, 92
912856193071, Raja Babu, Khatri, 6, male, Karnataka, Bangalore, 9, 69
218279717187, Maneet, Bhandari, 7, female, Tamil Nadu, Coimbatore, 11, 70
133256961837, Hanumantha, Kuruvilla, 26, male, Chandigarh, Chandigarh, 44, 158
70147079161, Ami, Sura, 15, female, Rajasthan, Kota, 25, 130
871981853747, Srinivasa, Luthra, 23, male, Jharkhand, Ranchi, 40, 155
975371053676, Disha, Mander, 12, female, Gujarat, Ahmedabad, 32, 111
463442098761, Hanumantha, Jha, 31, male, Uttar Pradesh, Allahabad, 54, 157
977703270388, Sharmila, Rout, 11, female, Madhya Pradesh, Bhopal, 28, 109
971549559403, Somayajulu, Chanda, 32, male, West Bengal, Haora, 66, 157
983245650100, Santosh, Krishna, 7, male, Jharkhand, Ranchi, 15, 81
763699775350, Latha, Kaul, 30, female, Haryana, Faridabad, 29, 151
959383961597, Divya, Mahal, 33, male, Maharashtra, Aurangabad, 64, 158
144421820391, Sreelekha, Kara, 13, female, Uttar Pradesh, Varanasi, 30, 120
322073238884, Manu, Hayre, 32, male, Madhya Pradesh, Indore, 64, 154
617495742927, Ankita, Mammen, 37, female, Chandigarh, Chandigarh, 34, 147
512563201577, Pardeep, Sarma, 12, male, Maharashtra, Nagpur, 35, 113
478316929697, Ridhima, Dhaliwal, 36, female, Maharashtra, Nagpur, 53, 149
356191722756, Meghana, Kant, 34, female, Jammu and Kashmir, Srinagar, 59, 151
6671639666, Srinivasa, Rout, 30, male, Andhra Pradesh, Visakhapatnam, 46, 153
167329794054, Rama Devi, Barman, 7, male, Gujarat, Rajkot, 13, 78
566944458361, Brijesh, Sarraf, 9, male, Maharashtra, Mumbai, 20, 94
142528067521, Munira, Dubey, 37, female, Delhi, Delhi, 44, 149
313947903405, Hemlata, Kant, 14, female, Maharashtra, Vasai Virar, 38, 124
264882247228, Nishant, Rajagopal, 29, male, Uttar Pradesh, Allahabad, 52, 154
59574173001, Gitanjali, Kaul, 18, female, Bihar, Patna, 76, 148
924494279909, Shilpa, Bhattacharyya, 25, female, Jharkhand, Ranchi, 57, 151
221602668579, Susmita, Badami, 38, female, Maharashtra, Navi Mumbai, 31, 155
952167688198, Prasad, Sastry, 40, male, Maharashtra, Thane, 48, 155
967524530174, Harbhajan, Kapoor, 33, male, Maharashtra, Aurangabad, 42, 150
590193543023, Mrinal, Rao, 31, male, Bihar, Patna, 52, 155
291393299644, Babu, Sundaram, 13, male, Gujarat, Ahmedabad, 26, 121
734962844126, Varghese, Dar, 31, male, Andhra Pradesh, Hyderabad, 49, 157
310791419753, Nanubhai, Shukla, 23, male, Gujarat, Rajkot, 46, 157
520563043446, Ramya, Kohli, 17, female, Rajasthan, Kota, 34, 142
784275673899, Ravindranath, Mani, 12, male, Maharashtra, Nashik, 28, 116
64371677899, Bhagwati, Ganguly, 34, male, Gujarat, Ahmedabad, 32, 153
547273571391, Ramasamy, Boase, 29, male, Jammu and Kashmir, Srinagar, 40, 155
301529710021, Aryaman, Karpe, 40, male, Maharashtra, Aurangabad, 46, 156
355661777671, Chakravarthy, Vasa, 21, male, Tamil Nadu, Madurai, 68, 156
93923457501, Ratnakar, Agate, 32, male, Chandigarh, Chandigarh, 43, 156
936363831319, Kareena, Dass, 13, female, Karnataka, Bangalore, 34, 118
918485923804, Pratibha, Varma, 30, female, Andhra Pradesh, Vijayawada, 53, 149
333120879174, Savitri, Handa, 37, female, West Bengal, Kolkata, 31, 150
106805229685, Aarushi, Kothari, 18, female, West Bengal, Haora, 55, 152
354567256837, Mrinal, Edwin, 18, male, Gujarat, Rajkot, 33, 154
908869864939, Indumati, Mani, 10, female, Punjab, Amritsar, 25, 101
567639620593, Keshavadasa, Mann, 22, male, Uttar Pradesh, Agra, 40, 150
200807297899, Aashu, Dutt, 22, male, Haryana, Faridabad, 29, 157
805379055940, Vijay, Hari, 20, male, Chhattisgarh, Raipur, 45, 154
789080198563, Viswanathan, Deo, 28, male, Tamil Nadu, Coimbatore, 47, 158
595052152903, Surender, Wali, 37, male, Punjab, Amritsar, 48, 156
233145545799, Pranay, Sehgal, 36, male, Rajasthan, Kota, 48, 152
27752086082, Binod, Keer, 6, male, Rajasthan, Kota, 13, 72
932994632454, Jaisingrao, Sathe, 18, male, Delhi, Delhi, 76, 155
162772757681, Anupama, Kothari, 11, female, Maharashtra, Thane, 38, 112
555900626932, Vishwajeet, Tandon, 32, male, West Bengal, Kolkata, 50, 155
324449840627, Arti, Kant, 37, female, Rajasthan, Jaipur, 55, 152
208539901014, Shirish, Date, 12, male, Jammu and Kashmir, Srinagar, 21, 113
375737176409, Naila, Suresh, 21, female, Punjab, Ludhiana, 42, 149
408055461627, Trilok, Saraf, 26, male, Uttar Pradesh, Meerut, 56, 154
103217416840, Ami, Ray, 15, female, Maharashtra, Thane, 45, 128
101577670170, Sudha, Sur, 26, female, Uttar Pradesh, Ghaziabad, 38, 150
854553729299, Padmavati, Sanghvi, 38, female, West Bengal, Kolkata, 60, 153
931191487849, Lakshmikantam, Jayaraman, 12, male, Jharkhand, Ranchi, 27, 118
489866179487, Dhanishka, Gopal, 8, male, Punjab, Ludhiana, 19, 89
983626281552, Venkatesh, Sinha, 38, male, Delhi, Delhi, 44, 153
474438872582, Krishnamurti, Krishnan, 9, male, Maharashtra, Vasai Virar, 20, 99
722847072852, Pardeep, Lata, 32, male, West Bengal, Haora, 36, 152
220073843049, Ami, Korpal, 7, female, West Bengal, Kolkata, 9, 69
993297415401, Rama Devi, Mannan, 37, male, Chhattisgarh, Raipur, 18, 154
525510358118, Kumudini, Barman, 10, female, Maharashtra, Nagpur, 15, 101
96733887341, Vidyasagar, Wali, 27, male, West Bengal, Haora, 53, 153
442236329364, Jesminder, Sharma, 35, female, Rajasthan, Jodhpur, 56, 150
696620541597, Venkata, Kohli, 27, male, Punjab, Ludhiana, 36, 155
144201946201, Shweta, Apte, 29, female, Punjab, Amritsar, 65, 150
